60000,-20.25
70000,-20.2666666667
80000,-20.3023255814
90000,-20.3092783505
100000,-20.32
110000,-20.28
120000,-20.25
130000,-20.25
140000,-20.32
150000,-20.33
160000,-20.31
170000,-20.29
180000,-20.26
190000,-20.26
200000,-20.32
210000,-20.33
220000,-20.33
230000,-20.35
240000,-20.28
250000,-20.28
260000,-20.29
270000,-20.3
280000,-20.3
290000,-20.24
300000,-20.28
310000,-20.28
320000,-20.21
330000,-20.25
340000,-20.27
350000,-20.27
360000,-20.27
370000,-20.29
380000,-20.33
390000,-20.3
400000,-20.27
410000,-20.3
420000,-20.37
430000,-20.35
440000,-20.37
450000,-20.43
460000,-20.42
470000,-20.41
480000,-20.46
490000,-20.49
500000,-20.51
510000,-20.43
520000,-20.41
530000,-20.43
540000,-20.4
550000,-20.41
560000,-20.44
570000,-20.42
580000,-20.42
590000,-20.4
600000,-20.38
610000,-20.4
620000,-20.41
630000,-20.4
640000,-20.44
650000,-20.45
660000,-20.44
670000,-20.39
680000,-20.4
690000,-20.4
700000,-20.45
710000,-20.48
720000,-20.47
730000,-20.46
